name,description,file_path
Ambient Rain,Soft rainfall for background ambience,sounds/ambient_rain.wav
Desk Fan,Low hum from a computer desk fan,sounds/desk_fan.wav
Office Chime,Slow chime for relaxation,sounds/office_chime.wav
City Traffic,Busy street ambience with distant cars,sounds/city_traffic.wav
Birdsong Morning,Light birds chirping at sunrise,sounds/birdsong_morning.wav
Keyboard Tap,Fast typing rhythm for focus sessions,sounds/keyboard_tap.wav
Cafe Noise,Low restaurant background sound,sounds/cafe_noise.wav
Wind Through Trees,Soft outdoor wind and rustling leaves,sounds/wind_through_trees.wav
Train Passby,Distant rail sound moving past the platform,sounds/train_passby.wav
Beach Waves,Calming wave sounds near the shore,sounds/beach_waves.wav
